"AGE","SEXE","TAUX","SITUATIONFAMILIALE","NBENFANTSACHARGE","DEUXIEMEVOITURE","IMMATRICULATION"
22,"M",1206,"En Couple",0,"0","4959 JH 74"
20,"M",558,"En Couple",3,"0","8671 JL 60"
32,"M",986,"En Couple",1,"0","8963 GN 80"
22,"M",1277,"En Couple",2,"0","562 WI 90"
46,"F",887,"En Couple",2,"1","1815 WO 52"
46,"M",770,"En Couple",4,"0","8101 PD 25"
55,"F",553,"En Couple",2,"1","2446 EC 34"
29,"M",769,"En Couple",0,"0","9475 BH 29"
25,"M",937,"En Couple",1,"0","3689 EY 67"
66,"M",1099,"En Couple",0,"0","5940 WF 68"
42,"F",1398,"En Couple",4,"0","8073 KB 46"
71,"F",1033,"En Couple",1,"0","9576 OO 95"
24,"M",1356,"Celibataire",0,"0","3149 PU 96"
83,"F",592,"Celibataire",0,"0","2705 SD 20"
72,"M",950,"En Couple",4,"0","9424 EN 85"
22,"F",1341,"Celibataire",0,"0","7183 UH 73"
32,"M",577,"En Couple",0,"0","7625 LK 13"
57,"M",703,"Celibataire",0,"0","4040 LZ 75"
36,"M",1133,"Celibataire",0,"0","1225 TO 67"
26,"M",581,"En Couple",1,"1","2075 QL 58"
39,"M",744,"En Couple",1,"0","1347 SB 59"
53,"F",1109,"Celibataire",0,"0","1637 XD 53"
52,"M",1270,"Celibataire",0,"0","3589 MD 76"
24,"F",1396,"En Couple",0,"0","3103 VJ 31"
72,"M",1234,"En Couple",1,"0","9191 WY 93"
67,"M",1224,"En Couple",2,"1","7162 LQ 46"
23,"M",579,"En Couple",3,"1","3065 IO 52"
22,"M",1153,"Celibataire",0,"0","96 WF 56"
47,"M",572,"En Couple",2,"1","2151 SO 43"
46,"F",559,"Celibataire",0,"0","8155 JV 29"
19,"M",555,"En Couple",1,"1","7013 LU 97"
47,"M",766,"En Couple",0,"0","6618 UC 60"
72,"F",1247,"Celibataire",0,"0","5458 LL 87"
35,"F",720,"En Couple",1,"0","9714 IM 33"
22,"M",841,"Celibataire",0,"0","7504 QF 42"
32,"M",966,"En Couple",1,"0","4096 KQ 97"
48,"M",865,"En Couple",4,"0","1602 XJ 81"
44,"F",808,"Celibataire",1,"0","4967 YV 89"
70,"M",1343,"Celibataire",0,"0","7709 ZL 41"
46,"M",1388,"En Couple",0,"0","7740 ZN 38"
77,"M",919,"En Couple",1,"0","6896 VO 68"
30,"M",1294,"Celibataire",0,"0","8363 AV 19"
18,"M",1092,"Celibataire",0,"0","7117 RW 52"
27,"M",1363,"En Couple",1,"1","8010 LR 22"
52,"F",807,"Celibataire",0,"0","5354 KB 21"
46,"M",1395,"Celibataire",0,"0","5213 LN 28"
55,"M",804,"En Couple",4,"1","2714 WJ 17"
40,"F",1375,"Celibataire",0,"0","6471 JL 84"
48,"M",592,"En Couple",0,"0","2201 QJ 86"
70,"M",596,"En Couple",0,"0","5817 WJ 75"
72,"M",702,"En Couple",2,"0","1601 ZC 38"
38,"M",736,"Celibataire",0,"0","3165 BP 67"
26,"M",1254,"En Couple",2,"0","5605 UO 62"
37,"M",903,"En Couple",0,"0","3240 SZ 37"
27,"F",1325,"Celibataire",0,"0","2314 XA 34"
32,"F",895,"Celibataire",0,"0","916 NV 36"
70,"M",1309,"Celibataire",0,"0","8904 XA 88"
52,"M",592,"Celibataire",3,"0","7317 SY 17"
43,"M",1204,"En Couple",3,"0","1711 FD 71"
34,"M",1056,"En Couple",1,"0","9994 FN 97"
59,"M",901,"En Couple",1,"0","8496 CW 51"
36,"F",1394,"En Couple",0,"0","4986 ML 88"
40,"F",1229,"Celibataire",3,"0","3245 FW 62"
20,"M",1180,"Celibataire",0,"0","7989 GV 38"
30,"F",1227,"En Couple",4,"0","4134 HG 59"
74,"F",1318,"En Couple",3,"0","1894 XI 51"
41,"F",1167,"En Couple",1,"0","7865 CN 10"
59,"F",1213,"En Couple",1,"1","5570 NN 70"
37,"M",1297,"Celibataire",1,"0","8129 OW 54"
21,"M",586,"En Couple",2,"1","3443 DU 10"
27,"M",1221,"En Couple",3,"1","1317 DR 78"
52,"M",797,"Celibataire",0,"0","5749 AN 69"
46,"M",1280,"En Couple",4,"0","384 RI 44"
