age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
25,F,159,En Couple,2,false,3467 SB 72
53,M,594,En Couple,2,false,113 LY 42
20,F,949,En Couple,1,false,925 WK 87
29,M,571,En Couple,2,false,3279 RV 81
47,M,502,En Couple,1,false,82 RZ 54
29,F,503,En Couple,3,false,8290 SD 41
52,F,211,En Couple,4,true,9339 BW 87
58,M,536,Célibataire,0,false,3696 JS 92
21,M,211,En Couple,4,false,6484 MS 45
42,M,176,En Couple,2,false,9896 TW 50
21,M,428,En Couple,0,true,6514 YR 16
66,F,185,En Couple,3,true,7622 EH 72
54,M,562,En Couple,4,true,467 TY 24
41,M,555,En Couple,1,false,909 CW 94
63,M,?,En Couple,0,false,7875 EC 47
29,F,967,En Couple,2,true,9037 LB 45
46,F,152,En Couple,3,false,4515 MQ 44
42,F,189,En Couple,1,true,2348 RP 45
43,F,1034,En Couple,4,false,2002 FT 62
29,M,167,En Couple,4,true,4622 CW 66
29,M,1119,En Couple,2,false,5446 MQ 82
23,M,587,En Couple,4,false,6320 NI 59
49,M,167,Célibataire,0,false,5697 FF 58
65,M,229,En Couple,4,false,3574 IH 22
24,M,571,En Couple,4,true,3438 SE 64
64,M,456,En Couple,4,false,5586 NR 14
47,M,1389,En Couple,1,false,5250 GM 79
23,M,924,En Couple,1,false,1934 DR 57
42,M,1336,En Couple,2,false,5341 JO 39
54,M,222,En Couple,0,true,9262 UI 96
47,M,493,En Couple,1,false,5960 XV 21
65,M,1391,Célibataire,0,false,528 NN 51
45,F,721,En Couple,4,false,3511 LP 33
40,F,442,En Couple,3,true,7213 KZ 39
28,M,241,En Couple,4,false,7606 PJ 74
65,M,188,En Couple,1,false,7175 OJ 19
18,M,864,Célibataire,0,false,7710 MK 34
32,M,1147,En Couple,0,false,1243 JH 50
34,F,564,En Couple,1,false,8814 QC 85
42,M,497,En Couple,2,false,2174 GH 69
36,M,465,Célibataire,0,false,6787 GD 42
49,M,1187,En Couple,0,false,2865 TP 74
58,M,206,En Couple,0,false,3362 YG 50
55,M,595,Seule,3,false,6991 CV 47
79,M,582,Célibataire,0,false,5867 PF 38
47,M,1322,Célibataire,0,false,1100 FU 87
33,F,753,Célibataire,0,false,6150 AC 44
43,F,1317,En Couple,1,false,6725 AG 10
39,F,486,En Couple,3,true,390 MZ 69
18,M,1348,En Couple,4,false,9459 UO 80
18,M, ,Célibataire,0,false,6138 PK 66
29,M,166,Célibataire,0,false,922 VM 95
79,F,1072,En Couple,2,true,1625 ZR 80
24,F,545,En Couple,0,false,5380 ZO 32
